voivodeship,fit error per day,beta,mortality,visibility,h inf prob,first day,last day,runs,shift,fname,optimize method,timestamp,fraction of infected customers at start
dolnośląskie,32.67,0.0151,0.0231,0.65,0.2399,26,92,12,-4,"C:/Users/HAL/PycharmProjects/ABM/RESULTS/VOIVODESHIPS/Dolnośląskie/raw data/Runs=12__g_size=(34, 34)__h_size=3__inf_cash=10__n=836__pct_inf_cust=0.006/Id=0007__b=0.015__m=0.023__v=0.650__h_inf_prob=0.240.csv",beta and mortality,2022-03-30 18:44:38,0.0000560
dolnośląskie,46.78,0.0156,0.0242,0.65,0.2467,26,92,12,1,"C:/Users/HAL/PycharmProjects/ABM/RESULTS/VOIVODESHIPS/Dolnośląskie/raw data/Runs=12__g_size=(34, 34)__h_size=3__inf_cash=10__n=836__pct_inf_cust=0.006/Id=0006__b=0.016__m=0.024__v=0.650__h_inf_prob=0.247.csv",beta and mortality,2022-03-30 18:43:57,0.0000560
dolnośląskie,47.53,0.0155,0.0226,0.65,0.2457,26,92,12,-3,"C:/Users/HAL/PycharmProjects/ABM/RESULTS/VOIVODESHIPS/Dolnośląskie/raw data/Runs=12__g_size=(34, 34)__h_size=3__inf_cash=10__n=836__pct_inf_cust=0.006/Id=0009__b=0.016__m=0.023__v=0.650__h_inf_prob=0.246.csv",beta and mortality,2022-03-30 18:46:02,0.0000560
dolnośląskie,53.00,0.0139,0.0229,0.65,0.2224,26,92,12,-16,"C:/Users/HAL/PycharmProjects/ABM/RESULTS/VOIVODESHIPS/Dolnośląskie/raw data/Runs=12__g_size=(34, 34)__h_size=3__inf_cash=10__n=836__pct_inf_cust=0.006/Id=0008__b=0.014__m=0.023__v=0.650__h_inf_prob=0.222.csv",beta and mortality,2022-03-30 18:45:19,0.0000560
dolnośląskie,74.88,0.0169,0.0241,0.65,0.2637,26,92,12,2,"C:/Users/HAL/PycharmProjects/ABM/RESULTS/VOIVODESHIPS/Dolnośląskie/raw data/Runs=12__g_size=(34, 34)__h_size=3__inf_cash=10__n=836__pct_inf_cust=0.006/Id=0005__b=0.017__m=0.024__v=0.650__h_inf_prob=0.264.csv",beta and mortality,2022-03-30 18:43:14,0.0000560
dolnośląskie,153.38,0.0186,0.0204,0.65,0.2872,26,92,12,14,"C:/Users/HAL/PycharmProjects/ABM/RESULTS/VOIVODESHIPS/Dolnośląskie/raw data/Runs=12__g_size=(34, 34)__h_size=3__inf_cash=34__n=836__pct_inf_cust=0/Id=0005__b=0.019__m=0.020__v=0.650__h_inf_prob=0.287.csv",beta,2022-03-29 15:22:15,nan
dolnośląskie,171.16,0.0203,0.0186,0.65,0.3088,26,92,12,17,"C:/Users/HAL/PycharmProjects/ABM/RESULTS/VOIVODESHIPS/Dolnośląskie/raw data/Runs=12__g_size=(34, 34)__h_size=3__inf_cash=34__n=836__pct_inf_cust=0/Id=0004__b=0.020__m=0.019__v=0.650__h_inf_prob=0.309.csv",beta,2022-03-29 15:21:34,nan
dolnośląskie,268.21,0.0181,0.0241,0.65,0.2803,26,92,12,15,"C:/Users/HAL/PycharmProjects/ABM/RESULTS/VOIVODESHIPS/Dolnośląskie/raw data/Runs=12__g_size=(34, 34)__h_size=3__inf_cash=10__n=836__pct_inf_cust=0.006/Id=0003__b=0.018__m=0.024__v=0.650__h_inf_prob=0.280.csv",beta and mortality,2022-03-30 18:41:51,0.0000560
dolnośląskie,274.68,0.0183,0.0266,0.65,0.2834,26,92,12,15,"C:/Users/HAL/PycharmProjects/ABM/RESULTS/VOIVODESHIPS/Dolnośląskie/raw data/Runs=12__g_size=(34, 34)__h_size=3__inf_cash=10__n=836__pct_inf_cust=0.006/Id=0004__b=0.018__m=0.027__v=0.650__h_inf_prob=0.283.csv",beta and mortality,2022-03-30 18:42:33,0.0000560
dolnośląskie,320.77,0.0200,0.0225,0.65,0.3049,26,92,12,16,"C:/Users/HAL/PycharmProjects/ABM/RESULTS/VOIVODESHIPS/Dolnośląskie/raw data/Runs=12__g_size=(34, 34)__h_size=3__inf_cash=10__n=836__pct_inf_cust=0.006/Id=0002__b=0.020__m=0.022__v=0.650__h_inf_prob=0.305.csv",beta and mortality,2022-03-30 18:41:08,0.0000560
