run_purpose,grid_size,N,customers_in_household,beta,mortality,visibility,avg_incubation_period,incubation_period_bins,avg_prodromal_period,prodromal_period_bins,avg_illness_period,illness_period_bins,infected_cashiers_at_start,percent_of_infected_customers_at_start,extra_shopping_boolean,housemate_infection_probability,max_steps,iterations,avg fname,timestamp
test beta stability,"(30, 30)",800,3,0.0150,0.0200,0.65,5,3,3,3,15,1,30,0.0000000,True,0.3049,150,12,"C:/Users/HAL/PycharmProjects/ABM/RESULTS/raw data/Runs=12__g_size=(30, 30)__h_size=3__n=800/Id=0009__b=0.015__m=0.020__v=0.650.csv",2022-04-04 12:54:44
test beta stability,"(30, 30)",800,3,0.0360,0.0200,0.65,5,3,3,3,15,1,30,0.0000000,True,0.3049,150,1,"C:/Users/HAL/PycharmProjects/ABM/RESULTS/raw data/Runs=1__g_size=(30, 30)__h_size=3__n=800/Id=0005__b=0.036__m=0.020__v=0.650.csv",2022-04-04 14:29:27
test beta stability,"(30, 30)",800,3,0.0360,0.0200,0.65,5,3,3,3,15,1,30,0.0000000,True,0.3049,150,12,"C:/Users/HAL/PycharmProjects/ABM/RESULTS/raw data/Runs=12__g_size=(30, 30)__h_size=3__n=800/Id=0016__b=0.036__m=0.020__v=0.650.csv",2022-04-04 13:02:25
test beta stability,"(30, 30)",800,3,0.0360,0.0200,0.65,5,3,3,3,15,1,30,0.0000000,True,0.3049,150,12,"C:/Users/HAL/PycharmProjects/ABM/RESULTS/raw data/Runs=12__g_size=(30, 30)__h_size=3__n=800/Id=0020__b=0.036__m=0.020__v=0.650.csv",2022-04-04 13:32:25
test beta stability,"(30, 30)",800,3,0.0300,0.0200,0.65,5,3,3,3,15,1,30,0.0000000,True,0.3049,150,12,"C:/Users/HAL/PycharmProjects/ABM/RESULTS/raw data/Runs=12__g_size=(30, 30)__h_size=3__n=800/Id=0014__b=0.030__m=0.020__v=0.650.csv",2022-04-04 12:58:00
test beta stability,"(30, 30)",800,3,0.0180,0.0200,0.65,5,3,3,3,15,1,30,0.0000000,True,0.3049,150,12,"C:/Users/HAL/PycharmProjects/ABM/RESULTS/raw data/Runs=12__g_size=(30, 30)__h_size=3__n=800/Id=0010__b=0.018__m=0.020__v=0.650.csv",2022-04-04 12:55:22
test beta stability,"(30, 30)",800,3,0.0360,0.0200,0.65,5,3,3,3,15,1,30,0.0000000,True,0.3049,150,1,"C:/Users/HAL/PycharmProjects/ABM/RESULTS/raw data/Runs=1__g_size=(30, 30)__h_size=3__n=800/Id=0001__b=0.036__m=0.020__v=0.650.csv",2022-04-04 13:45:20
test beta stability,"(30, 30)",800,3,0.0240,0.0200,0.65,5,3,3,3,15,1,30,0.0000000,True,0.3049,150,12,"C:/Users/HAL/PycharmProjects/ABM/RESULTS/raw data/Runs=12__g_size=(30, 30)__h_size=3__n=800/Id=0012__b=0.024__m=0.020__v=0.650.csv",2022-04-04 12:56:41
test beta stability,"(30, 30)",800,3,0.0330,0.0200,0.65,5,3,3,3,15,1,30,0.0000000,True,0.3049,150,1,"C:/Users/HAL/PycharmProjects/ABM/RESULTS/raw data/Runs=1__g_size=(30, 30)__h_size=3__n=800/Id=0004__b=0.033__m=0.020__v=0.650.csv",2022-04-04 14:29:01
test beta stability,"(30, 30)",800,3,0.0200,0.0200,0.65,5,3,3,3,15,1,30,0.0000000,True,0.3049,150,1,"C:/Users/HAL/PycharmProjects/ABM/RESULTS/raw data/Runs=1__g_size=(30, 30)__h_size=3__n=800/Id=0006__b=0.020__m=0.020__v=0.650.csv",2022-04-04 14:48:52
test beta stability,"(30, 30)",800,3,0.0330,0.0200,0.65,5,3,3,3,15,1,30,0.0000000,True,0.3049,150,12,"C:/Users/HAL/PycharmProjects/ABM/RESULTS/raw data/Runs=12__g_size=(30, 30)__h_size=3__n=800/Id=0015__b=0.033__m=0.020__v=0.650.csv",2022-04-04 13:01:47
test beta stability,"(30, 30)",800,3,0.0330,0.0200,0.65,5,3,3,3,15,1,30,0.0000000,True,0.3049,150,12,"C:/Users/HAL/PycharmProjects/ABM/RESULTS/raw data/Runs=12__g_size=(30, 30)__h_size=3__n=800/Id=0019__b=0.033__m=0.020__v=0.650.csv",2022-04-04 13:31:51
test beta stability,"(30, 30)",800,3,0.0360,0.0200,0.65,5,3,3,3,15,1,30,0.0000000,True,0.3049,150,1,"C:/Users/HAL/PycharmProjects/ABM/RESULTS/raw data/Runs=1__g_size=(30, 30)__h_size=3__n=800/Id=0003__b=0.036__m=0.020__v=0.650.csv",2022-04-04 14:06:58
test beta stability,"(30, 30)",800,3,0.0330,0.0200,0.65,5,3,3,3,15,1,30,0.0000000,True,0.3049,150,1,"C:/Users/HAL/PycharmProjects/ABM/RESULTS/raw data/Runs=1__g_size=(30, 30)__h_size=3__n=800/Id=0002__b=0.033__m=0.020__v=0.650.csv",2022-04-04 14:06:31
test beta stability,"(30, 30)",800,3,0.0330,0.0200,0.65,5,3,3,3,15,1,30,0.0000000,True,0.3049,150,1,"C:/Users/HAL/PycharmProjects/ABM/RESULTS/raw data/Runs=1__g_size=(30, 30)__h_size=3__n=800/Id=0000__b=0.033__m=0.020__v=0.650.csv",2022-04-04 13:44:55
test beta stability,"(30, 30)",800,3,0.0210,0.0200,0.65,5,3,3,3,15,1,30,0.0000000,True,0.3049,150,12,"C:/Users/HAL/PycharmProjects/ABM/RESULTS/raw data/Runs=12__g_size=(30, 30)__h_size=3__n=800/Id=0011__b=0.021__m=0.020__v=0.650.csv",2022-04-04 12:56:02
test beta stability,"(30, 30)",800,3,0.0270,0.0200,0.65,5,3,3,3,15,1,30,0.0000000,True,0.3049,150,12,"C:/Users/HAL/PycharmProjects/ABM/RESULTS/raw data/Runs=12__g_size=(30, 30)__h_size=3__n=800/Id=0013__b=0.027__m=0.020__v=0.650.csv",2022-04-04 12:57:19
test grid_size stability,"(24, 24)",800,3,0.0200,0.0200,0.65,5,3,3,3,15,1,8,0.0000000,True,0.3049,150,12,"C:/Users/HAL/PycharmProjects/ABM/RESULTS/raw data/Runs=12__h_size=3__n=800/Id=0025__b=0.020__m=0.020__v=0.650__g_size=(24, 24)__inf_cash=8.000.csv",2022-04-04 22:30:36
test grid_size stability,"(33, 33)",800,3,0.0200,0.0200,0.65,5,3,3,3,15,1,11,0.0000000,True,0.3049,150,12,"C:/Users/HAL/PycharmProjects/ABM/RESULTS/raw data/Runs=12__h_size=3__n=800/Id=0028__b=0.020__m=0.020__v=0.650__g_size=(33, 33)__inf_cash=11.000.csv",2022-04-04 22:32:27
test grid_size stability,"(21, 21)",800,3,0.0200,0.0200,0.65,5,3,3,3,15,1,7,0.0000000,True,0.3049,150,12,"C:/Users/HAL/PycharmProjects/ABM/RESULTS/raw data/Runs=12__h_size=3__n=800/Id=0024__b=0.020__m=0.020__v=0.650__g_size=(21, 21)__inf_cash=7.000.csv",2022-04-04 22:30:08
test grid_size stability,"(6, 6)",800,3,0.0200,0.0200,0.65,5,3,3,3,15,1,2,0.0000000,True,0.3049,150,12,"C:/Users/HAL/PycharmProjects/ABM/RESULTS/raw data/Runs=12__h_size=3__n=800/Id=0019__b=0.020__m=0.020__v=0.650__g_size=(6, 6)__inf_cash=2.000.csv",2022-04-04 22:28:51
test grid_size stability,"(9, 9)",800,3,0.0200,0.0200,0.65,5,3,3,3,15,1,3,0.0000000,True,0.3049,150,12,"C:/Users/HAL/PycharmProjects/ABM/RESULTS/raw data/Runs=12__h_size=3__n=800/Id=0020__b=0.020__m=0.020__v=0.650__g_size=(9, 9)__inf_cash=3.000.csv",2022-04-04 22:29:03
test grid_size stability,"(12, 12)",800,3,0.0200,0.0200,0.65,5,3,3,3,15,1,4,0.0000000,True,0.3049,150,12,"C:/Users/HAL/PycharmProjects/ABM/RESULTS/raw data/Runs=12__h_size=3__n=800/Id=0021__b=0.020__m=0.020__v=0.650__g_size=(12, 12)__inf_cash=4.000.csv",2022-04-04 22:29:18
