Incubation people	Prodromal people	Illness people	Dead people	Susceptible people	Susceptible customers	Incubation customers	Prodromal customers	Infected by cashier
1676	615	0	0	1020	99	136	45	0
1352	721	218	0	1020	89	119	67	0
1078	773	415	0	1045	105	86	78	0
870	739	618	0	1084	97	90	76	0
725	654	800	0	1132	118	68	71	0
593	576	943	1	1198	139	55	64	0
487	506	1049	2	1267	136	50	66	0
388	455	1121	3	1344	152	44	63	0
318	381	1198	3	1411	159	57	45	0
257	340	1213	3	1498	196	24	34	0
204	273	1238	4	1592	182	36	35	0
168	206	1250	4	1683	189	20	33	0
137	174	1226	4	1770	211	19	20	0
110	145	1201	4	1851	224	16	20	0
88	132	1156	5	1930	230	9	21	0
70	114	1112	5	2010	247	10	25	0
83	90	1097	5	2036	230	33	10	27
99	94	1040	6	2072	207	52	11	44
134	82	998	6	2091	199	61	8	55
147	86	972	7	2099	208	54	9	43
170	82	930	7	2122	204	62	4	46
186	88	894	8	2135	205	58	4	45
167	100	857	8	2179	258	23	6	12
194	90	823	9	2195	196	63	14	49
166	95	786	11	2253	247	12	17	0
136	92	774	11	2298	239	13	15	0
109	90	763	11	2338	246	14	10	0
91	89	739	12	2380	241	15	12	0
76	82	712	12	2429	246	10	11	0
61	66	700	12	2472	277	9	6	0
72	51	678	13	2497	226	32	15	19
109	50	647	15	2490	213	59	2	51
125	60	618	15	2493	212	48	9	41
94	76	593	15	2533	252	7	7	0
80	72	577	15	2567	253	8	13	0
62	62	571	16	2600	250	8	10	0
44	53	559	16	2639	289	2	5	0
35	44	536	16	2680	266	3	7	0
28	41	517	16	2709	272	2	8	0
23	30	495	16	2747	259	5	6	0
18	26	475	16	2776	272	0	2	0
57	24	442	16	2772	231	43	3	43
87	29	427	16	2752	228	44	1	43
140	36	407	16	2712	221	75	3	69
164	62	386	16	2683	199	74	8	62
174	89	372	16	2660	220	58	6	52
158	90	377	17	2669	241	22	6	17
139	74	388	18	2692	261	8	4	5
181	70	394	19	2647	184	78	12	66
199	91	383	19	2619	194	69	11	59
199	113	385	19	2595	223	55	15	44
160	118	389	20	2624	243	17	14	0
136	104	403	20	2648	248	14	10	0
111	101	407	22	2670	260	6	5	0
89	93	409	23	2697	264	7	8	0
104	75	412	24	2696	216	44	9	34
91	80	402	25	2713	237	28	5	13
99	71	402	25	2714	246	33	8	28
137	73	390	25	2686	216	64	2	59
125	83	383	26	2694	248	26	6	20
144	78	382	26	2681	221	45	7	41
144	78	378	26	2685	236	35	7	27
109	85	380	26	2711	252	12	9	0
88	72	385	27	2739	256	5	11	0
92	72	373	28	2746	252	32	8	23
142	56	377	28	2708	204	64	11	59
166	72	368	28	2677	213	65	6	58
185	95	366	28	2637	192	70	10	63
203	101	375	28	2604	199	70	10	58
186	103	396	30	2596	232	31	8	21
152	99	403	30	2627	255	10	6	0
159	97	407	30	2618	245	46	6	37
180	94	416	30	2591	200	62	10	53
185	98	415	30	2583	204	66	12	44
182	115	414	30	2570	199	55	11	41
190	107	433	30	2551	206	58	10	47
194	98	442	31	2546	202	59	8	42
216	99	447	31	2518	193	74	6	57
190	99	458	31	2533	264	23	9	13
152	110	452	32	2565	247	17	15	0
119	101	463	32	2596	261	10	3	0
99	82	465	32	2633	250	7	5	0
83	70	456	32	2670	256	9	8	0
65	71	445	32	2698	250	13	11	0
48	70	426	32	2735	260	4	7	0
34	63	422	32	2760	288	3	5	0
28	51	406	33	2793	274	3	6	0
25	38	393	33	2822	277	3	4	0
22	27	387	33	2842	265	1	5	0
21	22	370	33	2865	269	2	6	0
15	18	356	33	2889	274	1	1	0
12	12	351	33	2903	274	1	0	0
10	12	328	34	2927	294	3	1	0
9	8	310	35	2949	284	1	0	0
9	4	296	35	2967	280	2	1	0
9	3	274	35	2990	271	1	0	0
8	3	261	35	3004	277	1	1	0
5	6	247	35	3018	281	0	0	0
5	5	224	35	3042	277	1	0	0
5	4	208	35	3059	297	1	1	0
